kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
tesla-attack.1.sm_30.ptx 657 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 654 : 1 5 0 0 0 1 1 0 0 
tesla-attack.1.sm_30.ptx 653 : 1 86 0 0 0 1 1 0 0 
tesla-attack.1.sm_30.ptx 652 : 1 5 0 0 0 1 1 0 0 
tesla-attack.1.sm_30.ptx 639 : 4 18 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 632 : 4 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 629 : 4 344 0 0 0 4 4 0 0 
tesla-attack.1.sm_30.ptx 624 : 4 344 0 0 0 4 4 0 0 
tesla-attack.1.sm_30.ptx 617 : 4 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 616 : 4 28 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 613 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 611 : 1 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 610 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 571 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 570 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 569 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 568 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 531 : 4 18 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 627 : 4 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 530 : 4 32 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 529 : 4 40 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 619 : 4 483 0 0 0 4 4 0 0 
tesla-attack.1.sm_30.ptx 522 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 504 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 648 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 551 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 526 : 1 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 503 : 1 8 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 550 : 1 10 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 622 : 4 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 525 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 502 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 646 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 549 : 1 5 0 0 0 1 1 0 0 
tesla-attack.1.sm_30.ptx 501 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 548 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 500 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 547 : 1 10 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 497 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 544 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 490 : 1 265 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 634 : 4 344 0 0 0 4 4 0 0 
tesla-attack.1.sm_30.ptx 537 : 1 13 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 489 : 1 265 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 536 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 488 : 1 266 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 487 : 1 266 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 491 : 1 264 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 538 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 492 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 539 : 1 10 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 493 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 637 : 4 40 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 540 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 494 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 638 : 4 32 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 541 : 1 225 0 0 0 1 1 0 0 
tesla-attack.1.sm_30.ptx 495 : 1 8 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 496 : 1 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 533 : 1 10 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 642 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 545 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 643 : 1 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 546 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 649 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 552 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 650 : 1 10 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 553 : 1 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 651 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 554 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 558 : 1 6 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 562 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 563 : 1 0 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 565 : 1 7 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 566 : 1 11 0 0 0 0 0 0 0 
tesla-attack.1.sm_30.ptx 567 : 1 6 0 0 0 0 0 0 0 
